sweeps,beta,magnetisation,energy,G,seed
818,0.4,0.22875,-2.28,0.555,0
819,0.4,0.24875,-2.3,0.57,0
820,0.4,0.2225,-2.22,0.5525,0
821,0.4,0.2425,-2.285,0.5625,0
822,0.4,0.2425,-2.21,0.5325,0
823,0.4,0.2025,-2.17,0.54,0
824,0.4,0.20625,-2.24,0.555,0
825,0.4,0.21,-2.135,0.5325,0
826,0.4,0.19,-2.085,0.5075,0
827,0.4,0.195,-2.195,0.54,0
828,0.4,0.18875,-2.18,0.54,0
829,0.4,0.22125,-2.11,0.52,0
830,0.4,0.22375,-2.135,0.5275,0
831,0.4,0.1975,-2.11,0.525,0
832,0.4,0.2125,-2.25,0.5675,0
833,0.4,0.225,-2.265,0.57,0
834,0.4,0.2175,-2.155,0.5475,0
835,0.4,0.24,-2.175,0.535,0
836,0.4,0.22625,-2.165,0.5225,0
837,0.4,0.26,-2.145,0.525,0
838,0.4,0.2575,-2.19,0.525,0
839,0.4,0.255,-2.255,0.5725,0
840,0.4,0.20375,-2.215,0.55,0
841,0.4,0.20625,-2.135,0.515,0
842,0.4,0.1775,-2.02,0.505,0
843,0.4,0.18125,-2.065,0.5175,0
844,0.4,0.1925,-2.145,0.55,0
845,0.4,0.14875,-2.11,0.5525,0
846,0.4,0.1375,-2.23,0.5525,0
847,0.4,0.16625,-2.185,0.5425,0
848,0.4,0.15125,-2.165,0.5275,0
849,0.4,0.115,-2.215,0.5525,0
850,0.4,0.15875,-2.06,0.52,0
851,0.4,0.17,-2.16,0.5425,0
852,0.4,0.165,-2.11,0.535,0
853,0.4,0.195,-2.125,0.535,0
854,0.4,0.1325,-2.06,0.525,0
855,0.4,0.1325,-2.08,0.515,0
856,0.4,0.17125,-2.07,0.52,0
857,0.4,0.14625,-2.085,0.5425,0
858,0.4,0.1575,-2.25,0.5725,0
859,0.4,0.0825,-2.25,0.555,0
860,0.4,0.08125,-2.36,0.59,0
861,0.4,0.08125,-2.32,0.57,0
862,0.4,0.0625,-2.435,0.615,0
863,0.4,0.0325,-2.275,0.585,0
864,0.4,0.04,-2.325,0.5775,0
865,0.4,0.02875,-2.245,0.57,0
866,0.4,-0.00375,-2.23,0.5575,0
867,0.4,-0.04,-2.12,0.5175,0
868,0.4,-0.04625,-1.915,0.4775,0
869,0.4,-0.04,-2.025,0.4775,0
870,0.4,-0.0675,-2.065,0.52,0
871,0.4,-0.06875,-2.145,0.5475,0
872,0.4,-0.08125,-2.29,0.5675,0
873,0.4,-0.09125,-2.13,0.5425,0
874,0.4,-0.10625,-2.22,0.5475,0
875,0.4,-0.1125,-2.24,0.5675,0
876,0.4,-0.1,-2.27,0.5775,0
877,0.4,-0.07875,-2.175,0.5525,0
878,0.4,-0.0825,-2.175,0.56,0
879,0.4,-0.0875,-2.29,0.59,0
880,0.4,-0.0725,-2.17,0.545,0
